,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,Class
10,938,923,908,886,876,915,1113,1307,1403,1338,800,819,947,932,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,4494,4473,4451,4419,4387,4308,3851,3088,2243,1856,819,838,4537,4516,4494,4462,4430,4351,3894,3131,2286,1899,861,839,1
11,953,938,924,903,893,915,1097,1328,1411,1358,805,816,955,940,926,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,4522,4503,4483,4450,4423,4343,3964,3169,2289,1888,822,833,4537,4518,4498,4465,4438,4358,3979,3184,2304,1903,837,839,1
12,968,956,940,919,894,875,960,1226,1373,1400,803,815,969,957,941,920,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,970,958,942,921,895,876,960,1226,1373,1400,803,815,4538,4525,4505,4478,4436,4398,4232,3562,2561,2135,818,830,4572,4559,4539,4512,4470,4432,4266,3596,2595,2169,851,839,1
13,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
14,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
15,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
16,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
17,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
18,943,927,913,891,881,916,1111,1312,1408,1345,804,816,955,939,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,956,940,925,902,892,923,1117,1317,1412,1349,805,817,4513,4492,4471,4437,4406,4324,3883,3107,2252,1862,821,833,4537,4516,4495,4461,4430,4348,3907,3131,2276,1886,845,839,1
19,938,924,909,888,877,920,1125,1317,1407,1343,805,816,953,939,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,954,940,924,902,891,930,1133,1323,1412,1348,806,817,4520,4501,4479,4446,4414,4321,3849,3085,2233,1849,822,833,4535,4516,4494,4461,4429,4336,3864,3100,2248,1864,837,839,1
